股票代號,公司名稱,終止上櫃日期
6404,中國通訊多媒體集團有限公司,2024-07-02,本中心證券商營業處所買賣有價證券業務規則第12條之2
5383,金利精密工業股份有限公司,2024-05-31,本中心證券商營業處所買賣有價證券業務規則第15條之12
3089,億杰科技股份有限公司,2024-03-04,本中心證券商營業處所買賣有價證券業務規則第12條之2
8418,捷必勝控股股份有限公司,2024-01-31,本中心證券商營業處所買賣有價證券業務規則第15條之7
6446,藥華醫藥股份有限公司,2024-01-25,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
4736,泰博科技股份有限公司,2023-12-22,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
6472,保瑞藥業股份有限公司,2023-12-19,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
4944,兆遠科技股份有限公司,2023-11-01,本中心證券商營業處所買賣有價證券業務規則第15條之12
8476,台境企業股份有限公司,2023-10-31,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
5281,大峽谷半導體照明系統(開曼)股份有限公司,2023-10-31,本中心證券商營業處所買賣有價證券業務規則第15條之7
3642,駿熠電子科技股份有限公司,2023-06-27,本中心證券商營業處所買賣有價證券業務規則第12條之2
1258,其祥生物科技控股有限公司,2023-06-09,本中心證券商營業處所買賣有價證券業務規則第15條之7
6594,展匯科技股份有限公司,2023-04-01,本中心證券商營業處所買賣有價證券業務規則第15條之12
6247,淇譽電子科技股份有限公司,2023-02-10,本中心證券商營業處所買賣有價證券業務規則第15條之18
5820,日盛金融控股股份有限公司,2022-11-11,本中心證券商營業處所買賣有價證券業務規則第12條之2
3652,精聯電子股份有限公司,2022-09-21,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
5102,富強輪胎工廠股份有限公司,2022-07-15,本中心證券商營業處所買賣有價證券業務規則第15條之18
4429,聚紡股份有限公司,2022-05-31,本中心證券商營業處所買賣有價證券業務規則第15條之12
8406,金可國際股份有限公司,2022-04-29,本中心證券商營業處所買賣有價證券業務規則第15條之7
5306,桂盟國際股份有限公司,2022-03-08,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
1752,南光化學製藥股份有限公司,2022-01-19,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
4803,威馳克媒體集團股份有限公司,2021-12-27,本中心證券商營業處所買賣有價證券業務規則第12條之2
3144,新揚科技股份有限公司,2021-12-20,本中心證券商營業處所買賣有價證券業務規則第15條之18
2928,紅馬集團股份有限公司,2021-10-22,本中心證券商營業處所買賣有價證券業務規則第15條之7規定
4152,台灣微脂體股份有限公司,2021-10-08,本中心證券商營業處所買賣有價證券業務規則第15條之18
911613,特藝石油能源有限公司,2021-09-03,本中心證券商營業處所買賣有價證券業務規則第12條之6。
3092,鴻碩精密電工股份有限公司,2021-05-13,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
6426,統新光訊股份有限公司,2021-03-24,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
6438,迅得機械股份有限公司,2021-01-19,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
1597,直得科技股份有限公司,2020-12-23,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
5304,鼎創達股份有限公司,2020-11-20,本中心證券商營業處所買賣有價證券管理辦法第10條
8934,衡平股份有限公司,2020-11-18,本中心證券商營業處所買賣有價證券業務規則第12條之2及第15條之11
1333,恩得利工業股份有限公司,2020-11-17,本中心證券商營業處所買賣有價證券業務規則第12條之2
5349,先豐通訊股份有限公司,2020-11-04,本中心證券商營業處所買賣有價證券業務規則第15條之18
